Cell-cycle variance	Genetic variance	Cell-cycle q-value	Genetic q-value	total umis	gene id	gene name		
0.003628416383385739	0.16922325306821684	0.017205217366047007	0.802422474377502	0.5560658561120753	1.6551619479353825e-5	172	YAL062W	GDH3
0.15288791272422558	0.12968577768816789	0.6269897469079138	0.5318383349043934	1.60494486497929e-32	1.751599680288355e-8	581	YAL061W	BDH2
0.027064376633784994	0.07595202137789629	0.044115799604328106	0.12380422427569207	1.5014745191158064e-19	1.8312245748609542e-14	2942	YAL060W	BDH1
0.022017148600825747	3.9202191829380067e-8	0.0726469590303645	1.293500841259096e-7	0.0038514940145145797	1	302	YAL059W	ECM1
0.004614816539360645	7.809530890965157e-9	0.016624072850820414	2.813247490010164e-8	0.6121714845003774	1	207	YAL058W	CNE1
0.0014072804552456785	0.010329037886014514	0.0037900945929220786	0.02781821526472957	NA	NA	540	YAL056W	GPB2
0.004422676602189119	0.01874484573176138	0.014650840151339654	0.06209536965502365	0.4219433948485253	0.796871582066093	300	YAL055W	PEX22
0.0030660044612335208	2.8563040109354205e-8	0.007258281019917469	6.761848344260342e-8	0.28198801608340734	1	795	YAL054C	ACS1
0.01770524134106522	7.224054692842699e-6	0.03701789672723655	1.5103963025418468e-5	NA	NA	1110	YAL053W	FLC2
3.757746702711866e-10	5.2673183783805923e-11	1.2275048982928825e-9	1.7206213249190545e-10	1	1	284	YAL051W	OAF1
0.03986719388045508	0.08992161942242745	0.05308462043420845	0.11973391079849985	1.6555443466064896e-28	1.571034973857381e-26	3439	YAL049C	AIM2
7.141538259093919e-5	2.4551676610215135e-8	1.675675211326723e-4	5.760752711764835e-8	NA	NA	830	YAL046C	BOL3
0.003248328250327645	0.004434953144587306	0.006059906868485262	0.008273610593259508	0.1567295679296141	1	1356	YAL044W-A	BOL1
0.025801490713876496	0.015847575761173086	0.02638227522495223	0.01620430036450147	8.950535988448788e-19	0.05640655863728931	4558	YAL044C	GCV3
0.0010525521886901514	0.02649087816161889	0.0032891826991972087	0.08278291477800365	0.812945632094296	0.49777541256194646	374	YAL043C	PTA1
0.012504146413587875	0.02088437345667365	0.020434215426572512	0.03412914181802284	1.4788634088942311e-8	0.06150378456728368	1852	YAL042W	ERV46
3.5051564335960353e-9	1.8858428866263917e-10	8.902376371133081e-9	4.789653035926967e-10	1	1	622	YAL041W	CDC24
0.10000674559180156	0.019500512371332	0.26532172134016435	0.05173560522102549	1.907187207851254e-24	0.23705427456520106	816	YAL040C	CLN3
0.024765545528588492	0.022719092857412203	0.055012063501885644	0.05046624866528552	1.3871531885013115e-9	0.16131063302796547	1043	YAL039C	CYC3
0.02418862519221053	0.14339302786304065	0.003825434560237435	0.022677628022489342	1.968210851655024e-33	3.352568081680262e-97	119392	YAL038W	CDC19
0.004620819068722831	0.0560772038376416	0.01744521663521473	0.2117111608776198	0.36522786439173394	0.18862710223004767	230	YAL037W	YAL037W
0.02466492165031276	0.006952573295370398	0.04883812989772445	0.013766541914737605	1.0115676436777649e-7	0.7792331970032101	1238	YAL036C	RBG1
0.005444304508151107	0.014313120034060404	0.007529874806564763	0.019796101005454172	0.006391526674076445	0.1920730983241307	2599	YAL035W	FUN12
0.08623828714429677	0.00739492324408002	0.34405974497855174	0.029503083720075943	1.2393983163061022e-9	1	200	YAL034W-A	MTW1
0.005275678024756938	0.030440618060008025	0.014440245129194661	0.08332009357052411	0.1866131738587388	0.19353963016388773	569	YAL034C	FUN19
0.016279305609735242	2.9591641033678453e-8	0.044001024382463914	7.998268168522831e-8	0.0013106409822098064	1	563	YAL033W	POP5
0.007158215776915279	1.9134233171805234e-6	0.022675898478798587	6.061369793751763e-6	0.09484977902490117	1	326	YAL032C	PRP45
0.018897169556879666	1.8748076250060975e-7	0.058865420096403435	5.840098863152043e-7	0.026150156837358673	1	359	YAL031C	GIP4
