gene	gene_name	beta.old	p.old	p_adj.old	beta.hmm	p.hmm	p_adj.hmm	sig_both
YAL023C	PMT2	-0.007217981962663247	0.8555372405111703	0.9380286388691825	-0.02086586777441428	0.6667340510689175	0.8471870571083614	0
YAL022C	FUN26	0.09227896147965327	0.3811933518337093	0.656561978659577	0.019523217678968068	0.883933914135614	0.9528384337532503	0
YAL021C	CCR4	0.040446772737048886	0.5739580055466242	0.8007310518599503	-0.018381375168882882	0.8406124314285889	0.9363276196435258	0
YAL020C	ATS1	-7.55418927589971e-4	0.9945185472596544	0.9976464134951302	-0.03536020847145711	0.8011394167600915	0.9165229415362297	0
YAL019W	FUN30	-0.1661230975660655	0.14038684116590386	0.3856703523285285	-0.03422572737350007	0.8082442974899102	0.9199269163952739	0
YAL017W	PSK1	-0.1622862022002596	0.14994936418760582	0.4013278348202018	-0.12613244575436883	0.35764517255724104	0.6228923207899922	0
YAL016W	TPD3	-0.04176999660095637	0.42285399198164264	0.6935767786820718	0.02592370736254719	0.6607513310339447	0.8445724223030093	0
YAL015C	NTG1	0.0013830967713849209	0.9905778823630569	0.9966787520963544	-0.011900920741974838	0.9288542356147897	0.9725488326875736	0
YAL014C	SYN8	0.06285542212081378	0.2861350020242885	0.5677542056814582	0.10098717439828253	0.12948991048406644	0.35533597496215547	0
YAL013W	DEP1	0.09457752770161396	0.2918176547582054	0.5730722057987122	0.11285452308476564	0.2580502019805457	0.5232536367011397	0
YAL012W	CYS3	0.03366273154317808	0.366263213563743	0.645576190299574	0.10842635340256068	0.00675616280464135	0.0440318535978022	0
YAL011W	SWC3	0.04375329390010518	0.7006446634347966	0.8715535391562638	0.10777025151799913	0.37658142486303137	0.6388458162871986	0
YAL010C	MDM10	0.1255926224365478	0.41924843755507	0.6897403801468271	0.13418212963581427	0.4164855811192347	0.6704836276285869	0
YAL009W	SPO7	-0.0597150384600784	0.6195496504734904	0.8270812109579083	-0.037370940520184213	0.7682236010645577	0.8999630038635302	0
YAL008W	FUN14	0.13731987354818445	0.02333450693030054	0.12166214730362016	0.185926483022048	0.0032341558484507774	0.0241624966665507	0
YAL007C	ERP2	0.01760265763298684	0.6216975010036314	0.8281977310189719	0.020658264490437065	0.5719718295452751	0.7914268595712574	0
YAL005C	SSA1	-0.31388146657451277	5.235754688316066e-8	1.350549143549318e-6	-0.20657411926204183	7.494400336964113e-5	9.892961782934884e-4	1
YAL003W	EFB1	0.0830975798076066	7.275673132264343e-7	1.5303894429711393e-5	0.05800131627409896	7.225823816794441e-4	0.00694387500511952	1
YAL002W	VPS8	-0.1553062504162192	0.19483744642125864	0.4674000611407678	-0.15719622052525686	0.21218459579420101	0.47119016945508796	0
YAL001C	TFC3	0.16731458333299007	0.10687065710070627	0.32797313115251187	0.2736167036850419	0.012671362684753062	0.07041082598409837	0
YAR002W	NUP60	-0.18108730737504075	0.0136296658122823	0.08204544463912866	-0.19134287062192487	0.012126071290289961	0.06815352682765034	0
YAR002C-A	ERP1	0.10929199868989793	0.0019754150673288885	0.017666987673319128	0.1327140654620991	2.365150414114285e-4	0.0026957214371102585	1
YAR003W	SWD1	-0.22713896328100636	0.004696208856409272	0.03624585764608164	-0.19410041164310166	0.02039435246437745	0.10122959239359258	0
YAR007C	RFA1	0.20534537612782564	0.02460932957496481	0.12482647219967907	0.2845846663530206	0.0027273678128761497	0.02118356521538195	0
YAR008W	SEN34	0.19342245123130292	0.05658580176760967	0.21888477858173241	0.2150694801033002	0.042582597928778686	0.17134426309437137	0
YAR014C	BUD14	-0.12192279584998582	0.13009068443240485	0.37163863140674847	-0.12308299248386073	0.16416858734256376	0.40856996278800783	0
YAR015W	ADE1	-0.2602463290375913	3.328272713930624e-7	7.482506683933023e-6	-0.32627975114741853	1.878355913843273e-9	5.7898253671357736e-8	1
YAR018C	KIN3	0.09773443734444359	0.3858487767287936	0.6608101750202884	0.05257807781237706	0.6693564870141421	0.848576812115388	0
YAR019C	CDC15	0.14983409078828216	0.36688288401965136	0.6457765974718963	0.12079470576945853	0.5219174963708106	0.7548654563883738	0
YAL060W	BDH1	0.5992978774767646	4.078223150305199e-29	4.87496869747458e-27	0.7098433048378878	4.195934015042572e-36	7.909335618355248e-34	1
YAL059W	ECM1	-0.03571531632035232	0.7616490313059531	0.8994734899006435	-0.1631411279215167	0.20711944063931118	0.46585239952880403	0
YAL058W	CNE1	0.158033786525714	0.26959907866058336	0.5505437852147996	0.10839717957794731	0.49155849954566355	0.7296911329453944	0
YAL056W	GPB2	-0.3109323896204041	3.1043520785058073e-4	0.003674982979892986	-0.3918661397047597	3.6420035441476624e-5	5.458550266014585e-4	1
YAL055W	PEX22	-0.1996989124822107	0.08796470735632518	0.2903239310691856	-0.33256269077750683	0.009348363462682897	0.05593167958172328	0
YAL054C	ACS1	-0.05855939872570855	0.429273477018508	0.6992011895235528	-0.12645858644002694	0.11722545420976153	0.33476957088388326	0
YAL053W	FLC2	-0.1409857004996882	0.026458439505868236	0.13164752489163475	-0.17589449606289456	0.010397108937820945	0.06080695811964254	0
YAL051W	OAF1	-0.07330922075377427	0.5397577115100775	0.777293099410983	-0.10659020627269429	0.41308011054949234	0.6687269280172551	0
